ScenarioID,Weight(kg),Grade(deg),Weather,Throttle,TractiveEffort(N),GradeResistance(N),AdhesionFactor,Result
27,10000,2.7,Snow,8,3000000.0,4621.142814615945,0.6,PASS
28,10000,2.8000000000000003,Fog,8,5000000.0,4792.162416949661,1.0,PASS
29,10000,2.9000000000000004,Rain,8,3000000.0,4963.167421525576,0.6,PASS
30,10000,3.0,Fog,8,5000000.0,5134.15730743279,1.0,PASS
31,10000,3.1,Fog,8,5000000.0,5305.131553806456,1.0,PASS
32,10000,3.2,Clear,8,5000000.0,5476.089639829369,1.0,PASS
33,10000,3.3000000000000003,Rain,8,3000000.0,5647.0310447335505,0.6,PASS
34,10000,3.4000000000000004,Fog,8,5000000.0,5817.955247801836,1.0,PASS
35,10000,3.5,Rain,8,3000000.0,5988.861728369459,0.6,PASS
36,10000,3.6,Rain,8,3000000.0,6159.749965825642,0.6,PASS
37,10000,3.7,Rain,8,3000000.0,6330.619439615179,0.6,PASS
38,10000,3.8000000000000003,Snow,8,3000000.0,6501.469629240015,0.6,PASS
39,10000,3.9000000000000004,Fog,8,5000000.0,6672.300014260847,1.0,PASS
40,10000,4.0,Fog,8,5000000.0,6843.110074298692,1.0,PASS
41,10000,4.1000000000000005,Clear,8,5000000.0,7013.89928903649,1.0,PASS
42,10000,4.2,Fog,8,5000000.0,7184.667138220669,1.0,PASS
43,10000,4.3,Rain,8,3000000.0,7355.413101662747,0.6,PASS
44,10000,4.4,Snow,8,3000000.0,7526.1366592409095,0.6,PASS
45,10000,4.5,Clear,8,5000000.0,7696.837290901589,1.0,PASS
46,10000,4.6000000000000005,Snow,8,3000000.0,7867.514476661061,0.6,PASS
47,10000,4.7,Rain,8,3000000.0,8038.167696607015,0.6,PASS
48,10000,4.800000000000001,Rain,8,3000000.0,8208.79643090015,0.6,PASS
49,10000,4.9,Rain,8,3000000.0,8379.400159775749,0.6,PASS
50,10000,5.0,Rain,8,3000000.0,8549.978363545266,0.6,PASS
51,10000,5.1000000000000005,Snow,8,3000000.0,8720.530522597914,0.6,PASS
52,10000,5.2,Clear,8,5000000.0,8891.056117402233,1.0,PASS
53,10000,5.300000000000001,Fog,8,5000000.0,9061.554628507693,1.0,PASS
54,10000,5.4,Clear,8,5000000.0,9232.025536546254,1.0,PASS
55,10000,5.5,Snow,8,3000000.0,9402.468322233972,0.6,PASS
56,10000,5.6000000000000005,Rain,8,3000000.0,9572.882466372565,0.6,PASS
57,10000,5.7,Rain,8,3000000.0,9743.267449850988,0.6,PASS
58,10000,5.800000000000001,Clear,8,5000000.0,9913.622753647038,1.0,PASS
59,10000,5.9,Snow,8,3000000.0,10083.947858828913,0.6,PASS
60,10000,6.0,Clear,8,5000000.0,10254.242246556805,1.0,PASS
61,10000,6.1000000000000005,Clear,8,5000000.0,10424.505398084479,1.0,PASS
62,10000,6.2,Fog,8,5000000.0,10594.73679476084,1.0,PASS
63,10000,6.300000000000001,Clear,8,5000000.0,10764.935918031542,1.0,PASS
64,10000,6.4,Snow,8,3000000.0,10935.10224944053,0.6,PASS
65,10000,6.5,Fog,8,5000000.0,11105.235270631649,1.0,PASS
66,10000,6.6000000000000005,Snow,8,3000000.0,11275.334463350215,0.6,PASS
67,10000,6.7,Snow,8,3000000.0,11445.399309444583,0.6,PASS
68,10000,6.800000000000001,Clear,8,5000000.0,11615.429290867743,1.0,PASS
69,10000,6.9,Snow,8,3000000.0,11785.423889678881,0.6,PASS
70,10000,7.0,Snow,8,3000000.0,11955.382588044968,0.6,PASS
71,10000,7.1000000000000005,Rain,8,3000000.0,12125.304868242334,0.6,PASS
72,10000,7.2,Clear,8,5000000.0,12295.190212658248,1.0,PASS
73,10000,7.300000000000001,Clear,8,5000000.0,12465.038103792484,1.0,PASS
74,10000,7.4,Fog,8,5000000.0,12634.84802425891,1.0,PASS
75,10000,7.5,Fog,8,5000000.0,12804.619456787059,1.0,PASS
76,10000,7.6000000000000005,Fog,8,5000000.0,12974.351884223714,1.0,PASS
77,10000,7.7,Snow,8,3000000.0,13144.04478953445,0.6,PASS
78,10000,7.800000000000001,Rain,8,3000000.0,13313.697655805263,0.6,PASS
79,10000,7.9,Fog,8,5000000.0,13483.309966244085,1.0,PASS
80,15000,0.0,Fog,8,5000000.0,0.0,1.0,PASS
81,15000,0.1,Snow,8,3000000.0,256.82506904193616,0.6,PASS
82,15000,0.2,Rain,8,3000000.0,513.6493557501722,0.6,PASS
83,15000,0.30000000000000004,Fog,8,5000000.0,770.4720777933912,1.0,PASS
84,15000,0.4,Clear,8,5000000.0,1027.2924528450424,1.0,PASS
85,15000,0.5,Rain,8,3000000.0,1284.1096985857246,0.6,PASS
86,15000,0.6000000000000001,Fog,8,5000000.0,1540.9230327055686,1.0,PASS
87,15000,0.7000000000000001,Snow,8,3000000.0,1797.731672906621,0.6,PASS
88,15000,0.8,Snow,8,3000000.0,2054.5348369052267,0.6,PASS
89,15000,0.9,Rain,8,3000000.0,2311.3317424344123,0.6,PASS
90,15000,1.0,Fog,8,5000000.0,2568.121607246269,1.0,PASS
91,15000,1.1,Rain,8,3000000.0,2824.9036491143347,0.6,PASS
92,15000,1.2000000000000002,Fog,8,5000000.0,3081.677085835977,1.0,PASS
93,15000,1.3,Fog,8,5000000.0,3338.4411352347765,1.0,PASS
94,15000,1.4000000000000001,Fog,8,5000000.0,3595.195015162912,1.0,PASS
95,15000,1.5,Rain,8,3000000.0,3851.9379435035344,0.6,PASS
96,15000,1.6,Rain,8,3000000.0,4108.669138173161,0.6,PASS
97,15000,1.7000000000000002,Clear,8,5000000.0,4365.3878171240485,1.0,PASS
98,15000,1.8,Fog,8,5000000.0,4622.093198346578,1.0,PASS
99,15000,1.9000000000000001,Clear,8,5000000.0,4878.784499871642,1.0,PASS
100,15000,2.0,Fog,8,5000000.0,5135.460939773017,1.0,PASS
101,15000,2.1,Snow,8,3000000.0,5392.121736169756,0.6,PASS
102,15000,2.2,Clear,8,5000000.0,5648.76610722856,1.0,PASS
103,15000,2.3000000000000003,Fog,8,5000000.0,5905.3932711661655,1.0,PASS
104,15000,2.4000000000000004,Snow,8,3000000.0,6162.002446251726,0.6,PASS
105,15000,2.5,Clear,8,5000000.0,6418.592850809192,1.0,PASS
106,15000,2.6,Fog,8,5000000.0,6675.163703219694,1.0,PASS
107,15000,2.7,Snow,8,3000000.0,6931.714221923919,0.6,PASS
108,15000,2.8000000000000003,Clear,8,5000000.0,7188.243625424492,1.0,PASS
109,15000,2.9000000000000004,Snow,8,3000000.0,7444.751132288365,0.6,PASS
110,15000,3.0,Fog,8,5000000.0,7701.235961149186,1.0,PASS
111,15000,3.1,Snow,8,3000000.0,7957.697330709684,0.6,PASS
112,15000,3.2,Fog,8,5000000.0,8214.134459744053,1.0,PASS
113,15000,3.3000000000000003,Clear,8,5000000.0,8470.546567100326,1.0,PASS
114,15000,3.4000000000000004,Rain,8,3000000.0,8726.932871702753,0.6,PASS
115,15000,3.5,Snow,8,3000000.0,8983.29259255419,0.6,PASS
116,15000,3.6,Rain,8,3000000.0,9239.624948738463,0.6,PASS
117,15000,3.7,Rain,8,3000000.0,9495.929159422767,0.6,PASS
118,15000,3.8000000000000003,Rain,8,3000000.0,9752.204443860022,0.6,PASS
119,15000,3.9000000000000004,Snow,8,3000000.0,10008.45002139127,0.6,PASS
120,15000,4.0,Fog,8,5000000.0,10264.665111448037,1.0,PASS
121,15000,4.1000000000000005,Clear,8,5000000.0,10520.848933554735,1.0,PASS
122,15000,4.2,Fog,8,5000000.0,10777.000707331003,1.0,PASS
123,15000,4.3,Snow,8,3000000.0,11033.11965249412,0.6,PASS
124,15000,4.4,Fog,8,5000000.0,11289.204988861364,1.0,PASS
125,15000,4.5,Rain,8,3000000.0,11545.255936352383,0.6,PASS
126,15000,4.6000000000000005,Rain,8,3000000.0,11801.271714991592,0.6,PASS
127,15000,4.7,Fog,8,5000000.0,12057.251544910523,1.0,PASS
128,15000,4.800000000000001,Rain,8,3000000.0,12313.194646350225,0.6,PASS
129,15000,4.9,Fog,8,5000000.0,12569.100239663623,1.0,PASS
130,15000,5.0,Rain,8,3000000.0,12824.967545317899,0.6,PASS
131,15000,5.1000000000000005,Snow,8,3000000.0,13080.79578389687,0.6,PASS
132,15000,5.2,Fog,8,5000000.0,13336.58417610335,1.0,PASS
133,15000,5.300000000000001,Fog,8,5000000.0,13592.331942761539,1.0,PASS
134,15000,5.4,Rain,8,3000000.0,13848.038304819383,0.6,PASS
135,15000,5.5,Clear,8,5000000.0,14103.702483350959,1.0,PASS
136,15000,5.6000000000000005,Rain,8,3000000.0,14359.323699558847,0.6,PASS
137,15000,5.7,Rain,8,3000000.0,14614.90117477648,0.6,PASS
138,15000,5.800000000000001,Rain,8,3000000.0,14870.434130470556,0.6,PASS
139,15000,5.9,Rain,8,3000000.0,15125.921788243368,0.6,PASS
140,15000,6.0,Snow,8,3000000.0,15381.363369835208,0.6,PASS
141,15000,6.1000000000000005,Clear,8,5000000.0,15636.758097126716,1.0,PASS
142,15000,6.2,Snow,8,3000000.0,15892.105192141262,0.6,PASS
143,15000,6.300000000000001,Clear,8,5000000.0,16147.403877047313,1.0,PASS
144,15000,6.4,Snow,8,3000000.0,16402.653374160793,0.6,PASS
145,15000,6.5,Rain,8,3000000.0,16657.852905947475,0.6,PASS
146,15000,6.6000000000000005,Rain,8,3000000.0,16913.001695025323,0.6,PASS
147,15000,6.7,Rain,8,3000000.0,17168.098964166875,0.6,PASS
148,15000,6.800000000000001,Fog,8,5000000.0,17423.143936301618,1.0,PASS
149,15000,6.9,Snow,8,3000000.0,17678.13583451832,0.6,PASS
150,15000,7.0,Rain,8,3000000.0,17933.073882067452,0.6,PASS
151,15000,7.1000000000000005,Clear,8,5000000.0,18187.957302363502,1.0,PASS
152,15000,7.2,Clear,8,5000000.0,18442.78531898737,1.0,PASS
153,15000,7.300000000000001,Clear,8,5000000.0,18697.557155688726,1.0,PASS
154,15000,7.4,Snow,8,3000000.0,18952.272036388364,0.6,PASS
155,15000,7.5,Fog,8,5000000.0,19206.92918518059,1.0,PASS
156,15000,7.6000000000000005,Snow,8,3000000.0,19461.527826335572,0.6,PASS
157,15000,7.7,Snow,8,3000000.0,19716.067184301675,0.6,PASS
158,15000,7.800000000000001,Clear,8,5000000.0,19970.546483707894,1.0,PASS
159,15000,7.9,Fog,8,5000000.0,20224.96494936613,1.0,PASS
160,20000,0.0,Fog,8,5000000.0,0.0,1.0,PASS
161,20000,0.1,Fog,8,5000000.0,342.4334253892482,1.0,PASS
162,20000,0.2,Fog,8,5000000.0,684.8658076668962,1.0,PASS
163,20000,0.30000000000000004,Clear,8,5000000.0,1027.2961037245218,1.0,PASS
164,20000,0.4,Fog,8,5000000.0,1369.7232704600567,1.0,PASS
165,20000,0.5,Snow,8,3000000.0,1712.146264780966,0.6,PASS
166,20000,0.6000000000000001,Rain,8,3000000.0,2054.5640436074245,0.6,PASS
167,20000,0.7000000000000001,Clear,8,5000000.0,2396.975563875495,1.0,PASS
168,20000,0.8,Snow,8,3000000.0,2739.3797825403026,0.6,PASS
169,20000,0.9,Clear,8,5000000.0,3081.7756565792165,1.0,PASS
170,20000,1.0,Snow,8,3000000.0,3424.162142995025,0.6,PASS
171,20000,1.1,Fog,8,5000000.0,3766.538198819113,1.0,PASS
172,20000,1.2000000000000002,Fog,8,5000000.0,4108.902781114636,1.0,PASS
173,20000,1.3,Rain,8,3000000.0,4451.254846979702,0.6,PASS
174,20000,1.4000000000000001,Fog,8,5000000.0,4793.593353550549,1.0,PASS
175,20000,1.5,Clear,8,5000000.0,5135.9172580047125,1.0,PASS
176,20000,1.6,Snow,8,3000000.0,5478.225517564214,0.6,PASS
177,20000,1.7000000000000002,Fog,8,5000000.0,5820.517089498731,1.0,PASS
178,20000,1.8,Rain,8,3000000.0,6162.790931128771,0.6,PASS
179,20000,1.9000000000000001,Fog,8,5000000.0,6505.045999828856,1.0,PASS
180,20000,2.0,Snow,8,3000000.0,6847.28125303069,0.6,PASS
181,20000,2.1,Rain,8,3000000.0,7189.4956482263415,0.6,PASS
182,20000,2.2,Fog,8,5000000.0,7531.688142971413,1.0,PASS
183,20000,2.3000000000000003,Rain,8,3000000.0,7873.857694888221,0.6,PASS
184,20000,2.4000000000000004,Rain,8,3000000.0,8216.003261668968,0.6,PASS
185,20000,2.5,Snow,8,3000000.0,8558.123801078924,0.6,PASS
186,20000,2.6,Fog,8,5000000.0,8900.218270959593,1.0,PASS
187,20000,2.7,Fog,8,5000000.0,9242.28562923189,1.0,PASS
188,20000,2.8000000000000003,Snow,8,3000000.0,9584.324833899322,0.6,PASS
189,20000,2.9000000000000004,Snow,8,3000000.0,9926.334843051152,0.6,PASS
190,20000,3.0,Snow,8,3000000.0,10268.31461486558,0.6,PASS
191,20000,3.1,Fog,8,5000000.0,10610.263107612913,1.0,PASS
192,20000,3.2,Clear,8,5000000.0,10952.179279658738,1.0,PASS
193,20000,3.3000000000000003,Clear,8,5000000.0,11294.062089467101,1.0,PASS
194,20000,3.4000000000000004,Clear,8,5000000.0,11635.910495603672,1.0,PASS
195,20000,3.5,Rain,8,3000000.0,11977.723456738919,0.6,PASS
196,20000,3.6,Snow,8,3000000.0,12319.499931651284,0.6,PASS
197,20000,3.7,Fog,8,5000000.0,12661.238879230357,1.0,PASS
198,20000,3.8000000000000003,Rain,8,3000000.0,13002.93925848003,0.6,PASS
199,20000,3.9000000000000004,Fog,8,5000000.0,13344.600028521694,1.0,PASS
200,20000,4.0,Snow,8,3000000.0,13686.220148597384,0.6,PASS
201,20000,4.1000000000000005,Rain,8,3000000.0,14027.79857807298,0.6,PASS
202,20000,4.2,Snow,8,3000000.0,14369.334276441337,0.6,PASS
203,20000,4.3,Rain,8,3000000.0,14710.826203325494,0.6,PASS
204,20000,4.4,Fog,8,5000000.0,15052.273318481819,1.0,PASS
205,20000,4.5,Rain,8,3000000.0,15393.674581803178,0.6,PASS
206,20000,4.6000000000000005,Rain,8,3000000.0,15735.028953322122,0.6,PASS
207,20000,4.7,Fog,8,5000000.0,16076.33539321403,1.0,PASS
208,20000,4.800000000000001,Snow,8,3000000.0,16417.5928618003,0.6,PASS
209,20000,4.9,Rain,8,3000000.0,16758.800319551498,0.6,PASS
210,20000,5.0,Clear,8,5000000.0,17099.95672709053,1.0,PASS
211,20000,5.1000000000000005,Rain,8,3000000.0,17441.061045195827,0.6,PASS
212,20000,5.2,Snow,8,3000000.0,17782.112234804466,0.6,PASS
213,20000,5.300000000000001,Fog,8,5000000.0,18123.109257015385,1.0,PASS
214,20000,5.4,Snow,8,3000000.0,18464.05107309251,0.6,PASS
215,20000,5.5,Snow,8,3000000.0,18804.936644467944,0.6,PASS
216,20000,5.6000000000000005,Clear,8,5000000.0,19145.76493274513,1.0,PASS
217,20000,5.7,Snow,8,3000000.0,19486.534899701976,0.6,PASS
218,20000,5.800000000000001,Snow,8,3000000.0,19827.245507294076,0.6,PASS
219,20000,5.9,Snow,8,3000000.0,20167.895717657826,0.6,PASS
220,20000,6.0,Fog,8,5000000.0,20508.48449311361,1.0,PASS
221,20000,6.1000000000000005,Fog,8,5000000.0,20849.010796168957,1.0,PASS
222,20000,6.2,Clear,8,5000000.0,21189.47358952168,1.0,PASS
223,20000,6.300000000000001,Rain,8,3000000.0,21529.871836063085,0.6,PASS
224,20000,6.4,Fog,8,5000000.0,21870.20449888106,1.0,PASS
225,20000,6.5,Clear,8,5000000.0,22210.470541263297,1.0,PASS
226,20000,6.6000000000000005,Fog,8,5000000.0,22550.66892670043,1.0,PASS
227,20000,6.7,Rain,8,3000000.0,22890.798618889166,0.6,PASS
228,20000,6.800000000000001,Rain,8,3000000.0,23230.858581735487,0.6,PASS
229,20000,6.9,Fog,8,5000000.0,23570.847779357762,1.0,PASS
230,20000,7.0,Fog,8,5000000.0,23910.765176089935,1.0,PASS
231,20000,7.1000000000000005,Fog,8,5000000.0,24250.60973648467,1.0,PASS
232,20000,7.2,Snow,8,3000000.0,24590.380425316496,0.6,PASS
233,20000,7.300000000000001,Fog,8,5000000.0,24930.076207584967,1.0,PASS
234,20000,7.4,Fog,8,5000000.0,25269.69604851782,1.0,PASS
235,20000,7.5,Fog,8,5000000.0,25609.238913574118,1.0,PASS
236,20000,7.6000000000000005,Fog,8,5000000.0,25948.703768447427,1.0,PASS
237,20000,7.7,Rain,8,3000000.0,26288.0895790689,0.6,PASS
238,20000,7.800000000000001,Rain,8,3000000.0,26627.395311610526,0.6,PASS
239,20000,7.9,Rain,8,3000000.0,26966.61993248817,0.6,PASS
240,25000,0.0,Snow,8,3000000.0,0.0,0.6,PASS
241,25000,0.1,Snow,8,3000000.0,428.0417817365602,0.6,PASS
242,25000,0.2,Fog,8,5000000.0,856.0822595836203,1.0,PASS
243,25000,0.30000000000000004,Rain,8,3000000.0,1284.1201296556521,0.6,PASS
244,25000,0.4,Rain,8,3000000.0,1712.1540880750708,0.6,PASS
245,25000,0.5,Rain,8,3000000.0,2140.1828309762077,0.6,PASS
246,25000,0.6000000000000001,Snow,8,3000000.0,2568.205054509281,0.6,PASS
247,25000,0.7000000000000001,Rain,8,3000000.0,2996.2194548443686,0.6,PASS
248,25000,0.8,Clear,8,5000000.0,3424.224728175378,1.0,PASS
249,25000,0.9,Rain,8,3000000.0,3852.2195707240207,0.6,PASS
250,25000,1.0,Rain,8,3000000.0,4280.202678743781,0.6,PASS
251,25000,1.1,Snow,8,3000000.0,4708.172748523892,0.6,PASS
252,25000,1.2000000000000002,Snow,8,3000000.0,5136.1284763932945,0.6,PASS
253,25000,1.3,Snow,8,3000000.0,5564.068558724628,0.6,PASS
254,25000,1.4000000000000001,Rain,8,3000000.0,5991.991691938187,0.6,PASS
255,25000,1.5,Snow,8,3000000.0,6419.896572505891,0.6,PASS
256,25000,1.6,Rain,8,3000000.0,6847.781896955268,0.6,PASS
257,25000,1.7000000000000002,Snow,8,3000000.0,7275.646361873414,0.6,PASS
258,25000,1.8,Clear,8,5000000.0,7703.488663910964,1.0,PASS
259,25000,1.9000000000000001,Clear,8,5000000.0,8131.30749978607,1.0,PASS
260,25000,2.0,Clear,8,5000000.0,8559.101566288362,1.0,PASS
261,25000,2.1,Clear,8,5000000.0,8986.869560282927,1.0,PASS
262,25000,2.2,Rain,8,3000000.0,9414.610178714267,0.6,PASS
263,25000,2.3000000000000003,Snow,8,3000000.0,9842.322118610276,0.6,PASS
264,25000,2.4000000000000004,Snow,8,3000000.0,10270.004077086209,0.6,PASS
265,25000,2.5,Snow,8,3000000.0,10697.654751348655,0.6,PASS
266,25000,2.6,Snow,8,3000000.0,11125.27283869949,0.6,PASS
267,25000,2.7,Snow,8,3000000.0,11552.857036539863,0.6,PASS
268,25000,2.8000000000000003,Clear,8,5000000.0,11980.406042374152,1.0,PASS
269,25000,2.9000000000000004,Clear,8,5000000.0,12407.91855381394,1.0,PASS
270,25000,3.0,Rain,8,3000000.0,12835.393268581975,0.6,PASS
271,25000,3.1,Snow,8,3000000.0,13262.82888451614,0.6,PASS
272,25000,3.2,Rain,8,3000000.0,13690.224099573423,0.6,PASS
273,25000,3.3000000000000003,Clear,8,5000000.0,14117.577611833876,1.0,PASS
274,25000,3.4000000000000004,Snow,8,3000000.0,14544.888119504589,0.6,PASS
275,25000,3.5,Fog,8,5000000.0,14972.154320923648,1.0,PASS
276,25000,3.6,Rain,8,3000000.0,15399.374914564105,0.6,PASS
277,25000,3.7,Clear,8,5000000.0,15826.548599037946,1.0,PASS
278,25000,3.8000000000000003,Snow,8,3000000.0,16253.674073100037,0.6,PASS
279,25000,3.9000000000000004,Clear,8,5000000.0,16680.750035652116,1.0,PASS
280,25000,4.0,Snow,8,3000000.0,17107.77518574673,0.6,PASS
281,25000,4.1000000000000005,Fog,8,5000000.0,17534.748222591224,1.0,PASS
282,25000,4.2,Rain,8,3000000.0,17961.66784555167,0.6,PASS
283,25000,4.3,Rain,8,3000000.0,18388.532754156866,0.6,PASS
284,25000,4.4,Fog,8,5000000.0,18815.341648102272,1.0,PASS
285,25000,4.5,Clear,8,5000000.0,19242.093227253972,1.0,PASS
286,25000,4.6000000000000005,Clear,8,5000000.0,19668.786191652653,1.0,PASS
287,25000,4.7,Rain,8,3000000.0,20095.41924151754,0.6,PASS
288,25000,4.800000000000001,Fog,8,5000000.0,20521.991077250375,1.0,PASS
289,25000,4.9,Clear,8,5000000.0,20948.500399439374,1.0,PASS
290,25000,5.0,Fog,8,5000000.0,21374.945908863167,1.0,PASS
291,25000,5.1000000000000005,Fog,8,5000000.0,21801.326306494786,1.0,PASS
292,25000,5.2,Fog,8,5000000.0,22227.640293505585,1.0,PASS
293,25000,5.300000000000001,Snow,8,3000000.0,22653.88657126923,0.6,PASS
294,25000,5.4,Clear,8,5000000.0,23080.063841365638,1.0,PASS
295,25000,5.5,Clear,8,5000000.0,23506.17080558493,1.0,PASS
296,25000,5.6000000000000005,Fog,8,5000000.0,23932.20616593141,1.0,PASS
297,25000,5.7,Rain,8,3000000.0,24358.168624627466,0.6,PASS
298,25000,5.800000000000001,Rain,8,3000000.0,24784.056884117595,0.6,PASS
299,25000,5.9,Fog,8,5000000.0,25209.869647072283,1.0,PASS
300,25000,6.0,Rain,8,3000000.0,25635.605616392015,0.6,PASS
301,25000,6.1000000000000005,Rain,8,3000000.0,26061.263495211195,0.6,PASS
302,25000,6.2,Snow,8,3000000.0,26486.8419869021,0.6,PASS
303,25000,6.300000000000001,Rain,8,3000000.0,26912.339795078857,0.6,PASS
304,25000,6.4,Snow,8,3000000.0,27337.755623601322,0.6,PASS
305,25000,6.5,Fog,8,5000000.0,27763.088176579124,1.0,PASS
306,25000,6.6000000000000005,Clear,8,5000000.0,28188.336158375536,1.0,PASS
307,25000,6.7,Fog,8,5000000.0,28613.498273611458,1.0,PASS
308,25000,6.800000000000001,Clear,8,5000000.0,29038.57322716936,1.0,PASS
309,25000,6.9,Rain,8,3000000.0,29463.5597241972,0.6,PASS
310,25000,7.0,Rain,8,3000000.0,29888.456470112418,0.6,PASS
311,25000,7.1000000000000005,Clear,8,5000000.0,30313.262170605838,1.0,PASS
312,25000,7.2,Rain,8,3000000.0,30737.975531645618,0.6,PASS
313,25000,7.300000000000001,Clear,8,5000000.0,31162.595259481208,1.0,PASS
314,25000,7.4,Snow,8,3000000.0,31587.120060647274,0.6,PASS
315,25000,7.5,Snow,8,3000000.0,32011.54864196765,0.6,PASS
316,25000,7.6000000000000005,Clear,8,5000000.0,32435.879710559286,1.0,PASS
317,25000,7.7,Fog,8,5000000.0,32860.11197383612,1.0,PASS
318,25000,7.800000000000001,Rain,8,3000000.0,33284.244139513154,0.6,PASS
319,25000,7.9,Snow,8,3000000.0,33708.274915610215,0.6,PASS
320,30000,0.0,Snow,8,3000000.0,0.0,0.6,PASS
321,30000,0.1,Snow,8,3000000.0,513.6501380838723,0.6,PASS
322,30000,0.2,Clear,8,5000000.0,1027.2987115003443,1.0,PASS
323,30000,0.30000000000000004,Rain,8,3000000.0,1540.9441555867825,0.6,PASS
324,30000,0.4,Clear,8,5000000.0,2054.5849056900847,1.0,PASS
325,30000,0.5,Clear,8,5000000.0,2568.219397171449,1.0,PASS
326,30000,0.6000000000000001,Snow,8,3000000.0,3081.8460654111373,0.6,PASS
327,30000,0.7000000000000001,Snow,8,3000000.0,3595.463345813242,0.6,PASS
328,30000,0.8,Fog,8,5000000.0,4109.069673810453,1.0,PASS
329,30000,0.9,Clear,8,5000000.0,4622.6634848688245,1.0,PASS
330,30000,1.0,Fog,8,5000000.0,5136.243214492538,1.0,PASS
331,30000,1.1,Snow,8,3000000.0,5649.807298228669,0.6,PASS
332,30000,1.2000000000000002,Snow,8,3000000.0,6163.354171671954,0.6,PASS
333,30000,1.3,Clear,8,5000000.0,6676.882270469553,1.0,PASS
334,30000,1.4000000000000001,Clear,8,5000000.0,7190.390030325824,1.0,PASS
335,30000,1.5,Clear,8,5000000.0,7703.875887007069,1.0,PASS
336,30000,1.6,Fog,8,5000000.0,8217.338276346321,1.0,PASS
337,30000,1.7000000000000002,Rain,8,3000000.0,8730.775634248097,0.6,PASS
338,30000,1.8,Clear,8,5000000.0,9244.186396693156,1.0,PASS
339,30000,1.9000000000000001,Snow,8,3000000.0,9757.568999743284,0.6,PASS
340,30000,2.0,Rain,8,3000000.0,10270.921879546035,0.6,PASS
341,30000,2.1,Fog,8,5000000.0,10784.243472339513,1.0,PASS
342,30000,2.2,Fog,8,5000000.0,11297.53221445712,1.0,PASS
343,30000,2.3000000000000003,Clear,8,5000000.0,11810.786542332331,1.0,PASS
344,30000,2.4000000000000004,Rain,8,3000000.0,12324.004892503452,0.6,PASS
345,30000,2.5,Fog,8,5000000.0,12837.185701618384,1.0,PASS
346,30000,2.6,Clear,8,5000000.0,13350.327406439388,1.0,PASS
347,30000,2.7,Snow,8,3000000.0,13863.428443847837,0.6,PASS
348,30000,2.8000000000000003,Clear,8,5000000.0,14376.487250848984,1.0,PASS
349,30000,2.9000000000000004,Rain,8,3000000.0,14889.50226457673,0.6,PASS
350,30000,3.0,Fog,8,5000000.0,15402.471922298371,1.0,PASS
351,30000,3.1,Snow,8,3000000.0,15915.394661419368,0.6,PASS
352,30000,3.2,Clear,8,5000000.0,16428.268919488106,1.0,PASS
353,30000,3.3000000000000003,Rain,8,3000000.0,16941.09313420065,0.6,PASS
354,30000,3.4000000000000004,Fog,8,5000000.0,17453.865743405506,1.0,PASS
355,30000,3.5,Rain,8,3000000.0,17966.58518510838,0.6,PASS
356,30000,3.6,Fog,8,5000000.0,18479.249897476926,1.0,PASS
